adaptive_minus_best_fixed,best_adaptive,best_fixed,rep
0.012234508991241455,et_utility_b1_fast,fixed_full,0
0.01102951169013977,rf_utility_b1_fast,fixed_full,1
0.006801635026931763,et_utility_b1_fast,fixed_full,2
0.00718766450881958,et_utility_b1_fast,fixed_full,3
0.009470999240875244,et_utility_b1_fast,fixed_full,4
0.0023768842220306396,rf_utility_b1_fast,fixed_full,5
0.008386939764022827,et_utility_b1_fast,fixed_full,6
0.00501975417137146,et_utility_b1_fast,fixed_full,7
0.012801885604858398,et_utility_b1_fast,fixed_full,8
0.007827728986740112,et_utility_b1_fast,fixed_full,9
0.008876383304595947,rf_utility_b1_fast,fixed_full,10
0.013965725898742676,et_utility_b1_fast,fixed_full,11
0.0103779137134552,rf_utility_b1_fast,fixed_full,12
0.006630033254623413,rf_utility_b1_fast,fixed_full,13
-0.0011033415794372559,rf_utility_b1_fast,fixed_full,14
0.004317492246627808,et_utility_b1_fast,fixed_full,15
0.008594632148742676,et_utility_b1_fast,fixed_full,16
0.006990700960159302,et_utility_b1_fast,fixed_full,17
0.008805692195892334,rf_utility_b1_fast,fixed_full,18
0.01314583420753479,et_utility_b1_fast,fixed_full,19
0.006551265716552734,rf_utility_b1_fast,fixed_full,20
0.004809051752090454,et_utility_b1_fast,fixed_full,21
0.00706067681312561,et_utility_b1_fast,fixed_full,22
0.012606173753738403,et_utility_b1_fast,fixed_full,23
0.01174113154411316,et_utility_b1_fast,fixed_full,24
0.006118088960647583,rf_utility_b1_fast,fixed_full,25
0.009923994541168213,et_utility_b1_fast,fixed_full,26
-0.0036947131156921387,et_utility_b1_fast,fixed_full,27
0.0061827898025512695,et_utility_b1_fast,fixed_full,28
0.0027453601360321045,et_utility_b1_fast,fixed_full,29
