dataset,cluster_id,n,radius,radius_std,label_entropy,majority_share
docred,0,1,0.0,0.0,-1.4428232973175175e-12,1.0
docred,1,245,0.14211970567703247,0.0300705935806036,6.248135771728112,0.06938775510204082
docred,2,271,0.14631058275699615,0.0291215181350708,2.8218114913919385,0.46494464944649444
docred,3,333,0.1848398894071579,0.02734368108212948,3.7456000596855796,0.2672672672672673
docred,4,1,0.0,0.0,-1.4428232973175175e-12,1.0
docred,5,465,0.1351049840450287,0.026382120326161385,4.977361457918468,0.21935483870967742
docred,6,190,0.1668388992547989,0.02626793086528778,5.59296710222438,0.08421052631578947
docred,7,3,0.07386841624975204,0.05585583299398422,1.584962500716828,0.3333333333333333
docred,8,1,-1.1920928955078125e-07,0.0,-1.4428232973175175e-12,1.0
docred,9,372,0.1483544111251831,0.02642492949962616,4.363003862149383,0.2956989247311828
docred,10,141,0.15935450792312622,0.035108331590890884,1.8790718632495877,0.46099290780141844
docred,11,539,0.14900988340377808,0.029152950271964073,5.589790873479465,0.2077922077922078
docred,12,309,0.15080639719963074,0.028828248381614685,2.71960413120662,0.5080906148867314
docred,13,291,0.18406124413013458,0.03298819810152054,5.882177449814585,0.07903780068728522
docred,14,230,0.12164315581321716,0.031232481822371483,4.689994402436018,0.12608695652173912
docred,15,300,0.12453313171863556,0.026071149855852127,4.092608135093933,0.3233333333333333
docred,16,150,0.14097890257835388,0.027646800503134727,5.235998898335623,0.12
docred,17,460,0.1213628500699997,0.03070138581097126,4.147351035671004,0.41956521739130437
docred,18,411,0.1307866871356964,0.02509102039039135,4.44619810310813,0.2846715328467153
docred,19,324,0.17397329211235046,0.027940398082137108,5.544970238086141,0.12654320987654322
docred,20,356,0.16358263790607452,0.02597246877849102,3.55539565473076,0.29213483146067415
docred,21,1,1.1920928955078125e-07,0.0,-1.4428232973175175e-12,1.0
docred,22,244,0.16938021779060364,0.033288534730672836,6.463160638640657,0.05737704918032787
docred,23,420,0.14344272017478943,0.03324488550424576,4.41567979378599,0.20238095238095238
docred,24,138,0.17680689692497253,0.03122914396226406,4.98685633966788,0.12318840579710146
docred,25,129,0.013866466470062733,0.009024362079799175,0.224576688869125,0.9689922480620154
docred,26,364,0.168900266289711,0.02782878279685974,5.474375038806358,0.17857142857142858
docred,27,260,0.1638186126947403,0.03642512485384941,4.570944551524887,0.18461538461538463
docred,28,257,0.15484470129013062,0.031609907746315,5.4880555209644095,0.13618677042801555
docred,29,1,0.0,0.0,-1.4428232973175175e-12,1.0
docred,30,300,0.15347030758857727,0.028918039053678513,2.2023892275433488,0.45666666666666667
docred,31,1,1.1920928955078125e-07,0.0,-1.4428232973175175e-12,1.0
docred,32,260,0.17704564332962036,0.030305717140436172,4.2220395594167766,0.18846153846153846
docred,33,224,0.1317594349384308,0.023252442479133606,5.389635847530217,0.07589285714285714
docred,34,150,0.16285857558250427,0.03193951025605202,4.998270367190582,0.14666666666666667
docred,35,146,0.09497468918561935,0.024830419570207596,3.570227872160298,0.4246575342465753
docred,36,194,0.1663062572479248,0.028018204495310783,5.042995882758303,0.12371134020618557
docred,37,212,0.16207720339298248,0.028443828225135803,5.536934007714183,0.14622641509433962
docred,38,303,0.1328679323196411,0.025614891201257706,3.5340178014762746,0.42574257425742573
docred,39,388,0.16643649339675903,0.029270637780427933,5.913025950430703,0.13659793814432988
docred,40,406,0.13788239657878876,0.03040461428463459,5.8803204745072755,0.0812807881773399
docred,41,1,0.0,0.0,-1.4428232973175175e-12,1.0
docred,42,235,0.16063949465751648,0.03225954249501228,2.743873336379384,0.37872340425531914
docred,43,130,0.13683918118476868,0.043255142867565155,2.2772397540733227,0.5384615384615384
docred,44,1,1.1920928955078125e-07,0.0,-1.4428232973175175e-12,1.0
docred,45,207,0.16843336820602417,0.02770419232547283,5.319803712689058,0.13526570048309178
docred,46,1,0.0,0.0,-1.4428232973175175e-12,1.0
docred,47,270,0.17706036567687988,0.028242263942956924,4.409879031268226,0.26296296296296295
docred,48,125,0.1364559680223465,0.03295068070292473,3.0481077844671938,0.312
docred,49,117,0.14668291807174683,0.04126071184873581,4.703399714439284,0.1452991452991453
docred,50,514,0.14563167095184326,0.024745889008045197,5.845826881158659,0.15953307392996108
docred,51,212,0.1452406644821167,0.02620605193078518,2.6035946635491536,0.4858490566037736
docred,52,385,0.16262419521808624,0.03787871450185776,2.711389231043867,0.45454545454545453
docred,53,204,0.1768919676542282,0.028311334550380707,4.917121506179509,0.18627450980392157
docred,54,360,0.13773025572299957,0.026953188702464104,5.243375841003653,0.20277777777777778
docred,55,1,0.0,0.0,-1.4428232973175175e-12,1.0
docred,56,290,0.1654602736234665,0.031963810324668884,5.896023728948499,0.07931034482758621
docred,57,462,0.08640607446432114,0.01571521908044815,3.958567692524455,0.341991341991342
docred,58,324,0.13069023191928864,0.028079427778720856,5.32255455849951,0.2222222222222222
docred,59,355,0.12442317605018616,0.0318031869828701,3.8291935811012663,0.2619718309859155
docred,60,516,0.16825103759765625,0.029933640733361244,5.493989813504983,0.1744186046511628
docred,61,282,0.13735489547252655,0.03429736942052841,3.215526046593113,0.2695035460992908
docred,62,258,0.11207419633865356,0.0263926163315773,4.413913980226826,0.15503875968992248
docred,63,274,0.16618311405181885,0.02691863290965557,5.672962326473314,0.14963503649635038
docred,64,332,0.1659012883901596,0.03229837864637375,5.644987681320063,0.12650602409638553
docred,65,320,0.10497889667749405,0.02572157233953476,2.26469950679168,0.390625
docred,66,436,0.16333553194999695,0.036093570291996,4.6074042813692095,0.1720183486238532
docred,67,274,0.16229918599128723,0.030867980793118477,4.836309921236163,0.19343065693430658
docred,68,600,0.12564806640148163,0.029100382700562477,4.094689120449831,0.37333333333333335
docred,69,340,0.15450893342494965,0.0313713364303112,3.8978924569764253,0.3264705882352941
docred,70,212,0.14641231298446655,0.027882639318704605,5.20444215415828,0.12264150943396226
docred,71,404,0.1570541113615036,0.026857921853661537,2.642284743805428,0.4900990099009901
docred,72,389,0.1639491617679596,0.03478148579597473,4.9967696461362605,0.2699228791773779
docred,73,1,0.0,0.0,-1.4428232973175175e-12,1.0
docred,74,43,0.17185941338539124,0.02935214526951313,2.605265477734355,0.37209302325581395
docred,75,146,0.15022027492523193,0.0322270393371582,5.331781899082492,0.06164383561643835
docred,76,287,0.11526436358690262,0.02764350175857544,4.6041712041347465,0.23344947735191637
docred,77,167,0.10920117050409317,0.046115729957818985,2.0245351643738023,0.38323353293413176
docred,78,200,0.11762861162424088,0.0322321392595768,4.743749282653206,0.105
docred,79,453,0.12473374605178833,0.024354878813028336,4.588400843345482,0.1986754966887417
docred,80,171,0.1650511473417282,0.033720217645168304,4.012726586492971,0.17543859649122806
docred,81,88,0.14037440717220306,0.028794730082154274,4.118712452570154,0.19318181818181818
docred,82,407,0.18261145055294037,0.029098430648446083,4.710982790636881,0.21621621621621623
docred,83,214,0.15008287131786346,0.029747728258371353,4.39547667407293,0.24766355140186916
docred,84,329,0.15957100689411163,0.03097628429532051,5.426185286915046,0.0911854103343465
docred,85,63,0.15500816702842712,0.0355246476829052,3.989051654160826,0.19047619047619047
docred,86,333,0.1283130943775177,0.03362021595239639,4.181900200792826,0.19519519519519518
docred,87,486,0.1196674108505249,0.02267257496714592,4.371871687838302,0.32098765432098764
docred,88,435,0.16048561036586761,0.027119752019643784,5.4036204790320905,0.11264367816091954
docred,89,294,0.16600441932678223,0.029775943607091904,5.730931328256673,0.09863945578231292
docred,90,337,0.16642169654369354,0.027807559818029404,5.419990385807908,0.14836795252225518
docred,91,325,0.1575949490070343,0.029638346284627914,2.4724005981257675,0.44
docred,92,1,1.1920928955078125e-07,0.0,-1.4428232973175175e-12,1.0
docred,93,495,0.1513206660747528,0.030616477131843567,3.5195385446430087,0.4383838383838384
docred,94,268,0.12699104845523834,0.029791906476020813,3.020695598072975,0.332089552238806
docred,95,327,0.16281387209892273,0.027104685083031654,4.880311332558107,0.16819571865443425
docred,96,300,0.1571851670742035,0.0285342950373888,3.1910750885355004,0.43333333333333335
docred,97,412,0.14792223274707794,0.026849448680877686,5.549379042677127,0.12864077669902912
docred,98,369,0.11029323935508728,0.0244404599070549,4.7736473249868325,0.13279132791327913
docred,99,181,0.14027060568332672,0.02911379002034664,2.058073944905424,0.6077348066298343
docred,100,238,0.10406769812107086,0.02500467374920845,4.4483078262742435,0.226890756302521
docred,101,13,0.0556606687605381,0.024394338950514793,-1.4428232973175175e-12,1.0
