probe_cell_id,budget,family,seed,phase_name,method,valid_output,runtime_s,proxy_score,norm_cd,iou,coverage,mean_linf_error,cov_linf_error,cov_fro_error,normalized_violation_severity,budget_violation
protocol_b:budget_06_thin_strip:multi-hole:seed3:n64,budget_06_thin_strip,multi-hole,3,optimization-limited zone,Transformer rectified flow + exact projection,1,0.06899859999248292,0.48380162944993693,0.31506027530538716,0.14775160599571735,0.515625,9.86623976961809e-17,1.1102230246251565e-15,1.1267533089989422e-15,1.1102230246251565e-13,0
protocol_b:budget_10_extreme:crescent:seed3:n64,budget_10_extreme,crescent,3,optimization-limited zone,Transformer rectified flow + exact projection,1,0.06155320000834763,0.47394373112595184,0.2812649664835992,0.13161131611316113,0.5,3.599551212651875e-17,8.881784197001252e-16,1.1749496091904413e-15,8.881784197001252e-14,0
protocol_b:budget_10_extreme:cross-branch:seed3:n64,budget_10_extreme,cross-branch,3,optimization-limited zone,Transformer rectified flow + exact projection,1,0.059144900005776435,0.48325551937293887,0.2944725315644991,0.08860759493670886,0.609375,8.326672684688674e-17,8.881784197001252e-16,1.2755491433176288e-15,8.881784197001252e-14,0
protocol_b:budget_10_extreme:multi-hole:seed3:n64,budget_10_extreme,multi-hole,3,optimization-limited zone,Transformer rectified flow + exact projection,1,0.09748830000171438,0.45599123067703173,0.24269624739762616,0.16766467065868262,0.671875,1.0755285551056204e-16,2.220446049250313e-15,2.2725698534629935e-15,2.220446049250313e-13,0
protocol_b:budget_10_extreme:volatility-clustering:seed0:n64,budget_10_extreme,volatility-clustering,0,optimization-limited zone,Transformer rectified flow + exact projection,1,0.12164019999909215,0.3891036273224624,0.24292331015932458,0.1510353227771011,0.75,9.71445146547012e-17,1.9984014443252818e-15,2.4525628233156873e-15,1.9984014443252818e-13,0
protocol_b:budget_15_vertical_strip:spiral:seed3:n64,budget_15_vertical_strip,spiral,3,optimization-limited zone,Transformer rectified flow + exact projection,1,0.08547009999165311,0.4681831519158989,0.22064988312338157,0.09643201542912247,0.78125,4.5102810375396984e-17,2.220446049250313e-16,2.2909497957121503e-16,2.220446049250313e-14,0
protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed0:n64,budget_17_high_rot_aniso,volatility-clustering,0,optimization-limited zone,Transformer rectified flow + exact projection,1,0.07851960000698455,0.3861623611464115,0.2718218330633834,0.11026200873362445,0.828125,7.719519468096792e-17,1.3322676295501878e-15,1.344928772749134e-15,1.3322676295501878e-13,0
protocol_b:budget_18_neg_diag_extreme:cross-branch:seed3:n64,budget_18_neg_diag_extreme,cross-branch,3,optimization-limited zone,Transformer rectified flow + exact projection,1,0.06968780000170227,0.44250837187126396,0.31054919822644395,0.08384146341463415,0.515625,1.1188966420050406e-16,1.3322676295501878e-15,1.9891280697202825e-15,1.3322676295501878e-13,0
protocol_b:budget_22_broad_high_cond:barbell-bridge:seed3:n64,budget_22_broad_high_cond,barbell-bridge,3,optimization-limited zone,Transformer rectified flow + exact projection,1,0.062135700005455874,0.4169681234247903,0.25122850028616645,0.06832298136645963,0.765625,8.326672684688674e-17,4.996003610813204e-16,9.20548301573787e-16,4.9960036108132044e-14,0
protocol_b:budget_23_small_high_cond:pinwheel:seed3:n64,budget_23_small_high_cond,pinwheel,3,optimization-limited zone,Transformer rectified flow + exact projection,1,0.06837690000247676,0.46850928221041566,0.2352107683751276,0.1432469304229195,0.78125,3.968179951296946e-17,1.1102230246251565e-16,1.7554167342883506e-16,1.1102230246251565e-14,0
protocol_b:budget_06_thin_strip:pinwheel:seed2:n64,budget_06_thin_strip,pinwheel,2,effective-collapse zone,Transformer rectified flow + exact projection,1,0.07267870000214316,0.4871822554273328,0.24304154974704908,0.1516164994425864,0.828125,3.9085488318102435e-17,1.5543122344752192e-15,1.594436429147036e-15,1.5543122344752192e-13,0
protocol_b:budget_10_extreme:multi-hole:seed0:n64,budget_10_extreme,multi-hole,0,effective-collapse zone,Transformer rectified flow + exact projection,1,0.07965870000771247,0.5068282259777386,0.28355569488529453,0.10449438202247191,0.53125,4.597017211338539e-17,6.661338147750939e-16,1.0235750533041806e-15,6.661338147750939e-14,0
protocol_b:budget_10_extreme:nested-rings:seed2:n64,budget_10_extreme,nested-rings,2,effective-collapse zone,Transformer rectified flow + exact projection,1,0.0666060999938054,0.4718945395954467,0.22742103374843298,0.12588235294117647,0.734375,3.8163916471489756e-17,6.661338147750939e-16,1.0175362097255202e-15,6.661338147750939e-14,0
protocol_b:budget_10_extreme:nested-rings:seed3:n64,budget_10_extreme,nested-rings,3,effective-collapse zone,Transformer rectified flow + exact projection,1,0.06681350000144448,0.5351927996476591,0.2543744989230847,0.11445086705202312,0.5625,3.0357660829594124e-17,4.440892098500626e-16,4.965068306494546e-16,4.440892098500626e-14,0
