case,ambient_dim,intrinsic_dim,n_points,seed,target_kind,mean_err,cov_err,gaussian_proxy_cd,gaussian_proxy_mmd,best_view,best_utility,summary_correct,summary_utility,local_graph_sketch_correct,local_graph_sketch_utility,higher_order_sketch_correct,higher_order_sketch_utility,point_correct,point_utility
lowrank_manifold,50,2,96,20762612,ring,2.0238440553062748e-17,0.0,0.10096229143810818,0.0035440398415984564,summary,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762613,two_cluster,9.25185853854297e-18,0.0,0.08939005724403053,0.0014671975721674002,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762614,four_cluster,2.4864369822334236e-17,0.0,0.1477293550252608,0.002281399614590063,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762615,curve,4.452456921673805e-17,0.0,0.17060836305958912,0.010815197980232893,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762629,ring,1.6768993601109134e-17,0.0,0.11805318883621321,0.0037669691873982725,summary,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762630,two_cluster,2.0383000842727483e-17,0.0,0.0849449790832845,0.0010603306414391778,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762631,four_cluster,2.3852447794681098e-17,0.0,0.14764579555419038,0.0025597464060216346,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762632,curve,9.25185853854297e-18,0.0,0.15715025848377556,0.00951276336198581,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762646,ring,2.1105802291051152e-17,0.0,0.12741464656583737,0.004913936100548355,summary,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762647,two_cluster,2.0816681711721685e-17,0.0,0.11088888983863163,0.002197102935842299,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762648,four_cluster,2.312964634635743e-17,0.0,0.16736714415353718,0.0028377052987449414,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762649,curve,2.6599093298311043e-17,0.0,0.19679722296047475,0.013817889441372522,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762663,ring,1.835915678742121e-17,0.0,0.11225169538637232,0.0035249527494372046,summary,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762664,two_cluster,4.5102810375396984e-17,0.0,0.10789177530173989,0.002674757170137765,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762665,four_cluster,4.336808689942018e-17,0.0,0.1656402597390652,0.0034024307873468107,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762666,curve,2.2551405187698492e-17,0.0,0.17810764580637128,0.011673792934975502,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762680,ring,2.6599093298311043e-17,0.0,0.11901793030524409,0.005200504285125085,summary,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762681,two_cluster,1.3010426069826053e-17,0.0,0.10211673481677296,0.0023466556080375955,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762682,four_cluster,1.9660199394403815e-17,0.0,0.1749321553745317,0.0029138916555788708,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762683,curve,2.2551405187698492e-17,0.0,0.17126289952487603,0.013157152922139037,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762697,ring,1.7925475918427008e-17,0.0,0.10624497324265983,0.003674305627233476,summary,1.0,1.0,1.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762698,two_cluster,2.6359665318553827e-17,0.0,0.10717103614104996,0.003288025497724334,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
lowrank_manifold,50,2,96,20762699,four_cluster,3.23815048849004e-17,0.0,0.14213579935575632,0.0021808351356336075,local_graph_sketch,0.72,0.0,0.0,1.0,0.72,1.0,0.5800000000000001,1.0,0.42000000000000004
