dataset,cluster_id,n,mean_centroid_similarity,radius,radius_std,label_entropy,majority_share
citeseer,0,1,1.0,0.0,0.0,-1.4428232973175175e-12,1.0
citeseer,1,33,0.5338847041130066,0.4661153256893158,0.07162953913211823,2.2165461999616167,0.42424242424242425
citeseer,2,35,0.5596821904182434,0.44031786918640137,0.07870005816221237,2.43161799460458,0.3142857142857143
citeseer,3,16,0.5605257153511047,0.43947428464889526,0.14947205781936646,2.0550365325700524,0.375
citeseer,4,60,0.5438743233680725,0.4561257064342499,0.06973869353532791,1.4445829841755056,0.7
citeseer,5,127,0.5141304731369019,0.48586946725845337,0.04235898703336716,2.4199050528176915,0.33070866141732286
citeseer,6,36,0.522445559501648,0.47755447030067444,0.06278876215219498,0.7161757479891897,0.8611111111111112
citeseer,7,85,0.5578850507736206,0.4421149790287018,0.0723365768790245,1.2297510618686136,0.6941176470588235
citeseer,8,38,0.5354661345481873,0.46453380584716797,0.06092509627342224,1.8081742830303689,0.5
citeseer,9,61,0.5170202851295471,0.4829796850681305,0.06941869854927063,2.4440614723526943,0.2786885245901639
citeseer,10,37,0.512882649898529,0.48711735010147095,0.07007035613059998,1.683823718434402,0.6216216216216216
citeseer,11,89,0.5192598104476929,0.48074018955230713,0.05335959792137146,1.9230336952053866,0.4943820224719101
citeseer,12,82,0.5138577818870544,0.48614221811294556,0.060494326055049896,2.108258991779258,0.36585365853658536
citeseer,13,20,0.5474420785903931,0.45255789160728455,0.060262493789196014,1.9814963295200192,0.55
citeseer,14,34,0.599608302116394,0.40039166808128357,0.06103529408574104,-1.4428232973175175e-12,1.0
citeseer,15,23,0.6031554937362671,0.39684444665908813,0.09083735942840576,1.2087030080764927,0.7391304347826086
citeseer,16,51,0.5009323358535767,0.4990676939487457,0.06716549396514893,1.8730685326227792,0.5490196078431373
citeseer,17,11,0.5910707712173462,0.4089292287826538,0.1386156976222992,1.3092966682326757,0.6363636363636364
citeseer,18,8,0.6611872315406799,0.33881276845932007,0.10639552772045135,0.543564443196711,0.875
citeseer,19,44,0.5525484085083008,0.4474515914916992,0.05856619030237198,0.7888711179412735,0.8409090909090909
citeseer,20,69,0.5210809707641602,0.4789190888404846,0.06729231029748917,1.2791549104306743,0.7101449275362319
citeseer,21,15,0.5873119235038757,0.41268810629844666,0.0522322915494442,2.2062389286461763,0.26666666666666666
citeseer,22,73,0.5262985229492188,0.47370147705078125,0.08071992546319962,0.6598944303806571,0.9041095890410958
citeseer,23,21,0.5699415802955627,0.43005838990211487,0.0813429206609726,1.249460279914404,0.7619047619047619
citeseer,24,30,0.6145299077033997,0.3854700028896332,0.08687427639961243,0.7665095065471345,0.8666666666666667
citeseer,25,55,0.5572622418403625,0.44273775815963745,0.08216559886932373,1.26265774533893,0.7272727272727273
citeseer,26,24,0.5549612045288086,0.4450387954711914,0.05692803114652634,1.2069084251474886,0.5
citeseer,27,64,0.5391114950180054,0.46088844537734985,0.0791349709033966,0.5144384388637818,0.921875
citeseer,28,34,0.46986788511276245,0.5301321148872375,0.07820282131433487,2.2239850048801757,0.35294117647058826
citeseer,29,27,0.5572639107704163,0.44273605942726135,0.05960388854146004,2.4254855395777346,0.3333333333333333
citeseer,30,30,0.5354482531547546,0.464551717042923,0.0796516016125679,1.602715050786479,0.43333333333333335
citeseer,31,96,0.5105787515640259,0.48942121863365173,0.06267224252223969,0.6804748013161921,0.84375
citeseer,32,2,0.8116127848625183,0.1883872151374817,0.07937294244766235,-1.4428232973175175e-12,1.0
citeseer,33,37,0.5606040358543396,0.43939584493637085,0.09374885261058807,1.510769791391153,0.6756756756756757
citeseer,34,2,0.9037393927574158,0.09626060724258423,0.09537607431411743,-1.4428232973175175e-12,1.0
citeseer,35,56,0.5465540289878845,0.4534459710121155,0.0714530348777771,1.5676976186338152,0.6607142857142857
citeseer,36,39,0.5487033724784851,0.45129668712615967,0.07695738226175308,1.865693999908449,0.5641025641025641
citeseer,37,39,0.5496633648872375,0.45033660531044006,0.09378807991743088,1.8673773750394844,0.41025641025641024
citeseer,38,10,0.6550954580307007,0.34490451216697693,0.0879310816526413,0.9219280948830342,0.8
citeseer,39,96,0.5197828412055969,0.4802171289920807,0.06801597028970718,2.4099159154833427,0.3020833333333333
citeseer,40,20,0.5889074802398682,0.41109251976013184,0.08785989135503769,1.5788979029802657,0.65
citeseer,41,64,0.5222164392471313,0.47778359055519104,0.07847368717193604,1.087128886393422,0.765625
citeseer,42,2,0.8686444163322449,0.13135558366775513,0.1305674910545349,-1.4428232973175175e-12,1.0
citeseer,43,44,0.46404656767845154,0.5359534621238708,0.07359257340431213,2.135019219429429,0.4318181818181818
citeseer,44,19,0.5888976454734802,0.4111023247241974,0.07011613249778748,1.9290929654905866,0.3684210526315789
citeseer,45,52,0.5760908126831055,0.42390918731689453,0.07530417293310165,1.84021960095728,0.4807692307692308
citeseer,46,59,0.45828738808631897,0.5417126417160034,0.07274071872234344,1.8405496322881263,0.576271186440678
citeseer,47,18,0.5094878673553467,0.4905121624469757,0.06519222259521484,1.5683182556970732,0.5555555555555556
citeseer,48,30,0.5389257669448853,0.46107426285743713,0.05539168417453766,2.373884566198509,0.3333333333333333
citeseer,49,7,0.6252146363258362,0.3747853636741638,0.0751849114894867,2.235926350621819,0.2857142857142857
citeseer,50,35,0.6056566834449768,0.3943432569503784,0.09211613237857819,1.0970817135499409,0.6285714285714286
citeseer,51,61,0.5404829978942871,0.4595170021057129,0.08503227680921555,1.9051058160911285,0.5245901639344263
citeseer,52,54,0.5771302580833435,0.4228697121143341,0.06859813630580902,2.439139518625313,0.3148148148148148
citeseer,53,45,0.5131577253341675,0.4868422746658325,0.06550941616296768,1.070214505156981,0.7555555555555555
citeseer,54,42,0.4857492446899414,0.5142507553100586,0.08017915487289429,2.4566631136394106,0.23809523809523808
citeseer,55,6,0.7070226073265076,0.2929774522781372,0.10431181639432907,0.6500224216454688,0.8333333333333334
citeseer,56,45,0.5702030062675476,0.4297969937324524,0.07650887966156006,2.168988777689994,0.4
citeseer,57,22,0.5786589980125427,0.4213409721851349,0.06658606231212616,1.3342094594408354,0.7272727272727273
citeseer,58,107,0.49280741810798645,0.5071926116943359,0.04922810196876526,1.2737621287972722,0.7757009345794392
citeseer,59,57,0.591912567615509,0.4080874025821686,0.05895708501338959,1.5538527501833657,0.6842105263157895
citeseer,60,55,0.5214558243751526,0.4785441756248474,0.07484681904315948,1.2198378278201008,0.7636363636363637
citeseer,61,132,0.5117780566215515,0.4882219433784485,0.07312300056219101,2.410478025368684,0.3181818181818182
citeseer,62,28,0.5433367490768433,0.4566632807254791,0.07610389590263367,1.9601129787313936,0.5357142857142857
citeseer,63,22,0.5967113971710205,0.4032885730266571,0.07264956831932068,0.9567657083605435,0.8181818181818182
citeseer,64,19,0.6082450151443481,0.3917549252510071,0.06571011245250702,2.214812224852652,0.3157894736842105
citeseer,65,63,0.4432806372642517,0.5567193627357483,0.08366674184799194,1.6266930626794387,0.6666666666666666
citeseer,66,44,0.5511890053749084,0.44881096482276917,0.07739020884037018,1.7496365577136685,0.5909090909090909
citeseer,67,20,0.5695008039474487,0.4304991662502289,0.08013402670621872,1.8427376486064537,0.5
citeseer,68,47,0.4807929992675781,0.5192070007324219,0.04966060072183609,2.0866889007571894,0.40425531914893614
citeseer,69,1,1.0,0.0,0.0,-1.4428232973175175e-12,1.0
citeseer,70,59,0.6055873036384583,0.39441269636154175,0.07478363811969757,1.2470633250280094,0.7457627118644068
citeseer,71,44,0.571808397769928,0.42819157242774963,0.06901035457849503,1.117734332325521,0.7954545454545454
citeseer,72,28,0.5117396116256714,0.488260418176651,0.08314751088619232,2.0747803401774876,0.4642857142857143
citeseer,73,11,0.6382611989974976,0.3617388606071472,0.09433227777481079,1.6767370300463618,0.45454545454545453
citeseer,74,85,0.5707438588142395,0.4292561709880829,0.05322035029530525,0.7917491825241085,0.8705882352941177
citeseer,75,54,0.5730923414230347,0.4269076883792877,0.07235242426395416,0.5119100510175626,0.9074074074074074
citeseer,76,27,0.5900320410728455,0.40996795892715454,0.06657235324382782,1.6820028017603623,0.5555555555555556
citeseer,77,2,0.9990283846855164,0.0009716153144836426,0.0,-1.4428232973175175e-12,1.0
citeseer,78,42,0.47257858514785767,0.5274214148521423,0.0668237954378128,1.1758921697653686,0.7380952380952381
citeseer,79,30,0.5731814503669739,0.42681846022605896,0.08853483945131302,1.1829860594541692,0.7333333333333333
