scope,policy,cases,utility,oracle_utility,regret,best_view_acc,avg_cost,non_richest_share,ndcg
synthetic_access,fixed_summary,114,0.5175438596491229,0.9011087719298245,0.3835649122807017,0.6052631578947368,0.0,1.0,
synthetic_access,fixed_occupancy,114,0.5302315789473684,0.9011087719298245,0.37087719298245614,0.23684210526315788,0.28000000000000014,1.0,
synthetic_access,fixed_raster,114,0.5365754385964913,0.9011087719298245,0.3645333333333333,0.11403508771929824,0.42000000000000004,1.0,
synthetic_access,fixed_point,114,0.5676350877192982,0.9011087719298245,0.33347368421052637,0.043859649122807015,0.58,0.0,
synthetic_access,fitted_q_router,114,0.6865824561403508,0.9011087719298245,0.21452631578947368,0.543859649122807,0.18964912280701754,0.8508771929824561,
synthetic_access,oracle_eval_only,114,0.9011087719298245,0.9011087719298245,0.0,1.0,0.13964912280701755,0.956140350877193,
ivf_pq_semantic,fixed_summary,25000,0.2659399239815268,0.3679987635345673,0.10205883955304046,0.45612,0.0,1.0,0.2659399239815268
ivf_pq_semantic,fixed_pq,25000,0.2713677566160306,0.3679987635345673,0.09663100691853668,0.30936,0.2,1.0,0.28736775661603065
ivf_pq_semantic,fixed_full,25000,0.25034370983763155,0.3679987635345673,0.11765505369693577,0.23452,0.58,0.0,0.29674370983763154
ivf_pq_semantic,fitted_q_router_b0,25000,0.2656875876073368,0.3679987635345673,0.1023111759272305,0.35588,0.19159839999999997,0.81072,0.2810154596073368
ivf_pq_semantic,cluster_log_bandit_b1,25000,0.28365839093049106,0.3679987635345673,0.08434037260407626,0.41636,0.1584416,0.86928,0.2963337189304911
ivf_pq_semantic,oracle_eval_only,25000,0.3679987635345673,0.3679987635345673,0.0,1.0,0.1978936,0.76548,0.3838302515345673
