suite,budget,family,seed,public_seed_source,budget_difficulty,family_surface,family_connectivity,ambiguity_stratum,corruption_type,method,protocol,norm_cd,coverage,iou,uniformity,hausdorff,bidirectional_nn,approx_emd,occupancy_divergence,components_error,holes_error,skeleton_error,pairwise_hist_divergence,density_divergence,curvature_divergence,summary_entropy_gap,runtime_s,acceptance_rate,n_hypotheses
private_seed_audit,budget_06_thin_strip,barbell-bridge,1000,0,hard,jagged,connected,high,structured_dropout,ambiguity-set-sampler,protocol_b,0.28283029683462496,0.5625,0.04769001490312966,1.8846137397896447,0.6126095422033192,0.14141514841731248,0.2661387388702311,0.5946844702436032,0.0,1.0,0.9597315436241611,0.051543621001335804,0.5153086834435695,0.4863349625539237,1.7434908637636466,1.3979565999979968,,6
private_seed_audit,budget_06_thin_strip,barbell-bridge,1000,0,hard,jagged,connected,high,structured_dropout,best-of-k-restart-blind,protocol_b,0.4204101859007805,0.21875,0.0176,0.0,0.8712976823476816,0.21020509295039025,0.4069043785725141,0.6931471793323314,0.0,1.0,0.9855595667870036,0.2726055670343398,0.528590962693768,0.6931471803660842,1.8616610972656462,0.5065888000026462,0.7583333333333333,1
private_seed_audit,budget_06_thin_strip,barbell-bridge,1000,0,hard,jagged,connected,high,structured_dropout,blind-sa,protocol_b,0.1900372312915801,0.90625,0.10790464240903387,0.35008252572306475,0.24045941334795393,0.09501861564579005,0.11689363188189213,0.561119144666189,0.0,1.0,0.9021084337349398,0.00036643901830987584,0.07844051752760978,0.07031029658934296,0.13634124703850103,0.17289850000088336,0.4083333333333333,1
private_seed_audit,budget_06_thin_strip,barbell-bridge,1000,0,hard,jagged,connected,high,structured_dropout,evolutionary-blind,protocol_b,0.19224193045933985,0.9375,0.2338935574229692,0.3009306714645732,0.2667688760825163,0.09612096522966992,0.13091967350588274,0.35207475743760897,0.0,3.0,0.8125,0.0009817972891006674,0.041401768931030036,0.03410884230292625,0.059348315852417066,0.2331696000037482,,1
private_seed_audit,budget_06_thin_strip,barbell-bridge,1000,0,hard,jagged,connected,high,structured_dropout,projected-gradient-blind,protocol_b,0.6667273506279915,0.0625,0.020134228187919462,7.937253933193773,2.165225419234097,0.33336367531399574,0.5774327016029961,0.6931471793937736,0.0,1.0,0.9789272030651341,0.5648542581250839,0.5782573330141156,0.6736002107089575,2.3064975797054883,1.0688645000045653,,1
private_seed_audit,budget_06_thin_strip,barbell-bridge,1000,0,hard,jagged,connected,high,structured_dropout,subset-affine-blind,protocol_b,0.6268958586960393,0.09375,0.023411371237458192,4.509337503182952,0.9177207759797461,0.3134479293480196,0.5856847735640798,0.6661824912488109,0.0,1.0,0.9772296015180265,0.409218023547699,0.5611961531350704,0.6565680301897021,2.197773436237699,0.8869439999980386,,1
private_seed_audit,budget_06_thin_strip,barbell-bridge,1001,1,hard,jagged,connected,high,clustered_occlusion,ambiguity-set-sampler,protocol_b,0.3400952755607306,0.4375,0.11590296495956873,1.680294616595841,0.7939972287283503,0.1700476377803653,0.3118347750643232,0.661005006264511,0.0,6.0,0.9040880503144654,0.06920274477605426,0.5976013167952152,0.38353835200461106,1.5893221181136563,1.372807700005069,,6
private_seed_audit,budget_06_thin_strip,barbell-bridge,1001,1,hard,jagged,connected,high,clustered_occlusion,best-of-k-restart-blind,protocol_b,0.2659320968627759,0.609375,0.20748663101604278,0.42091793055798743,0.3566532804936268,0.13296604843138796,0.2321517026465049,0.41806946060285394,0.0,1.0,0.8309492847854356,0.0024676915576237156,0.158629520360846,0.02582791911671882,0.13336131868492318,0.5113125999996555,0.6666666666666666,1
private_seed_audit,budget_06_thin_strip,barbell-bridge,1001,1,hard,jagged,connected,high,clustered_occlusion,blind-sa,protocol_b,0.27777995540268663,0.640625,0.20197585071350166,0.47422083530407166,0.34357278969045285,0.13888997770134331,0.23980717466571166,0.3635935111036904,0.0,2.0,0.8610747051114024,0.00221179963077083,0.12606644911966347,0.06634346157953903,0.023066699415208003,0.17610440000134986,0.7583333333333333,1
private_seed_audit,budget_06_thin_strip,barbell-bridge,1001,1,hard,jagged,connected,high,clustered_occlusion,evolutionary-blind,protocol_b,0.27493109243153485,0.625,0.22926267281105991,0.36573456231070367,0.31147655127846613,0.13746554621576743,0.23237417096486415,0.30497783598834866,0.0,6.0,0.8306233062330624,0.0014175221510491233,0.10409797641783367,0.05102700604406274,0.15232918215860058,0.22360610000032466,,1
