experiment,policy,probe_cell_id,budget,family,seed,phase_name,k,distinct_actions,action_disagreeing_coverage,candidate_action_histogram,topk_utility,set_regret,mean_candidate_norm_cd,best_candidate_norm_cd,best_candidate_iou,protocol_violation,status
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_06_thin_strip:multi-hole:seed3:n64,budget_06_thin_strip,multi-hole,3,optimization-limited zone,6,1,0.0,abstain:6,-0.01,0.9636,0.4438591822373957,0.309575300542844,0.1092342342342342,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_10_extreme:crescent:seed3:n64,budget_10_extreme,crescent,3,optimization-limited zone,6,1,0.0,abstain:6,-0.01,0.9636,0.4192288694083028,0.3088514998044968,0.1333333333333333,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_10_extreme:cross-branch:seed3:n64,budget_10_extreme,cross-branch,3,optimization-limited zone,6,1,0.0,abstain:6,-0.01,0.04,0.4447059603855378,0.3639640351970183,0.113323124042879,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_10_extreme:multi-hole:seed3:n64,budget_10_extreme,multi-hole,3,optimization-limited zone,6,1,0.0,abstain:6,-0.01,0.9636,0.4268738723815066,0.3006201326315412,0.1398843930635838,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_10_extreme:volatility-clustering:seed0:n64,budget_10_extreme,volatility-clustering,0,optimization-limited zone,6,1,0.0,abstain:6,-0.01,0.015,0.3944457529973453,0.2650389067305761,0.1355704697986577,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_15_vertical_strip:spiral:seed3:n64,budget_15_vertical_strip,spiral,3,optimization-limited zone,6,2,1.0,abstain:5;escalate_access:1,0.0,0.03,0.3641242750275108,0.282285164371699,0.1245791245791245,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_17_high_rot_aniso:volatility-clustering:seed0:n64,budget_17_high_rot_aniso,volatility-clustering,0,optimization-limited zone,6,1,0.0,abstain:6,-0.01,0.015,0.3842554040193296,0.275333378125687,0.1013824884792626,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_18_neg_diag_extreme:cross-branch:seed3:n64,budget_18_neg_diag_extreme,cross-branch,3,optimization-limited zone,6,3,1.0,abstain:4;escalate_access:1;restart:1,0.005,0.0,0.3146811453110988,0.0980878432710053,0.4403470715835141,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_22_broad_high_cond:barbell-bridge:seed3:n64,budget_22_broad_high_cond,barbell-bridge,3,optimization-limited zone,6,1,0.0,abstain:6,-0.01,0.9636,0.4335708721868251,0.3037933798026344,0.0996168582375478,0,target-blind action-diversity heuristic; target metrics evaluator-only
witness_driven_heuristic_search,geometric-spread candidate set,protocol_b:budget_23_small_high_cond:pinwheel:seed3:n64,budget_23_small_high_cond,pinwheel,3,optimization-limited zone,6,1,0.0,abstain:6,-0.01,0.015,0.3448312503997554,0.2321162850264859,0.1289506953223767,0,target-blind action-diversity heuristic; target metrics evaluator-only
