split,access_level,balanced_accuracy,ece,risk_at_80_coverage,utility_lambda,expected_confusion_cost,access_cost
synthetic_heldout,moments_only,0.6666666666666666,0.17380694362024462,0.2647058823529411,0.6666666666666666,7.119347048263346,0.0
semi_real,moments_only,0.2222222222222222,0.6361389557520548,0.7692307692307692,0.2222222222222222,13.855666347174031,0.0
synthetic_heldout,moments_plus_handcrafted,0.6041666666666666,0.14262039648989833,0.3707865168539326,0.5945666666666666,14.56909510014919,0.12
semi_real,moments_plus_handcrafted,0.16666666666666666,0.8189582195546893,0.8333333333333334,0.15706666666666666,13.859687376335474,0.12
synthetic_heldout,moments_plus_pairwise_histogram,0.59375,0.4027998515715202,0.40625,0.57935,17.515217981297237,0.18
semi_real,moments_plus_pairwise_histogram,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.15226666666666666,17.69066835917385,0.18
synthetic_heldout,occupancy_grid,0.75,0.14156196452677244,0.20731707317073167,0.7276,5.19403839291932,0.28
semi_real,occupancy_grid,0.3333333333333333,0.4261196437809202,0.6666666666666667,0.3109333333333333,13.798165270539396,0.28
synthetic_heldout,raster,0.5416666666666666,0.45832988930245244,0.45833333333333337,0.5080666666666667,5.352902374121037,0.42
semi_real,raster,0.16666666666666666,0.8541489905781215,0.8823529411764706,0.13306666666666667,14.97487323891917,0.42
synthetic_heldout,point_cloud,0.6770833333333334,0.32125654195745784,0.32291666666666663,0.6306833333333334,9.056771347122679,0.58
semi_real,point_cloud,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.12026666666666666,14.218480720561754,0.58
synthetic_heldout,family_aware_oracle,1.0,0.0007288468380769464,0.0,0.924,0.0,0.95
semi_real,family_aware_oracle,1.0,3.749463293289956e-05,0.0,0.924,0.0,0.95
