suite,budget,family,seed,budget_difficulty,family_surface,family_connectivity,ambiguity_stratum,corruption_type,method,protocol,norm_cd,coverage,iou,uniformity,hausdorff,bidirectional_nn,approx_emd,occupancy_divergence,components_error,holes_error,skeleton_error,pairwise_hist_divergence,density_divergence,curvature_divergence,summary_entropy_gap,runtime_s,acceptance_rate,n_hypotheses,oracle_best_of_k_norm_cd,hypothesis_diversity,feasible_set_exploration,structural_mode_coverage,posterior_concentration_proxy
challenge,budget_06_thin_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout,ambiguity-set-sampler,protocol_b,0.3056276849726439,0.4375,0.08967391304347826,1.908771227750396,0.6911559299891139,0.15281384248632196,0.268969215962343,0.6294635045738894,0.0,5.0,0.9361702127659575,0.04872733973574769,0.6242737908038113,0.3701735983843041,1.587846284770745,1.3747667999996338,,6,0.2998715337963618,0.16254286436534277,0.3312714321826714,0.5,0.8499796556060385
challenge,budget_06_thin_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout,anchor-aware-refiner,protocol_a,0.4651979542847414,0.25,0.07051282051282051,1.638863625392472,1.2650033253232347,0.2325989771423707,0.37502046747043893,0.6157948728206223,0.0,5.0,0.94375,0.0812815650842319,0.6273526577999543,0.3507312693662197,1.7500858168865303,0.011831300013000146,,1,,,,,
challenge,budget_06_thin_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout,best-of-k-restart-blind,protocol_b,0.21939744858324292,0.859375,0.167816091954023,0.38506430995177254,0.3080424794379944,0.10969872429162146,0.13999688401260618,0.5061074638165626,0.0,2.0,0.8829337094499294,0.0006844962638342918,0.04326364733200706,0.10399688506641205,0.1478044656916664,0.5005242000042927,0.8916666666666667,1,,,,,
challenge,budget_06_thin_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout,blind-sa,protocol_b,0.22804630277510496,0.84375,0.16312849162011173,0.3988244555424988,0.33371811270338264,0.11402315138755248,0.15703407375290301,0.5015137478065685,0.0,2.0,0.8802816901408451,0.0005227499089553575,0.07025663936271206,0.0342879046885982,0.011588834166022632,0.17386470001656562,0.55,1,,,,,
challenge,budget_06_thin_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout,evolutionary-blind,protocol_b,0.2217384418468192,0.859375,0.1512513601741023,0.3075656441866349,0.3267899350147406,0.1108692209234096,0.15338788424951702,0.5281121361564132,0.0,5.0,0.8846153846153846,0.0002170974216589394,0.05450513866448129,0.04815429026055357,0.006844118427859591,0.22196339999209158,,1,,,,,
challenge,budget_06_thin_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout,projected-gradient-blind,protocol_b,0.6573634100576377,0.078125,0.01775147928994083,5.5677643628300215,1.7534502757604802,0.3286817050288188,0.5472921683989853,0.663084202652388,0.0,5.0,0.9835164835164835,0.5275337745609043,0.6381104741918573,0.5960741104784313,2.069871860863505,0.056706400006078184,,1,,,,,
challenge,budget_06_thin_strip,barbell-bridge,0,hard,jagged,connected,high,structured_dropout,subset-affine-blind,protocol_b,0.5870709083863609,0.0625,0.040419161676646706,5.588895722004106,1.1091050293730438,0.29353545419318045,0.5958410157384738,0.6931471793689044,0.0,5.0,0.9630314232902033,0.4343958996653748,0.6381104741918573,0.612786356480864,2.069871860863505,0.9013812000048347,,1,,,,,
challenge,budget_06_thin_strip,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion,ambiguity-set-sampler,protocol_b,0.29813695790763,0.46875,0.07681755829903979,1.537310048226182,0.5059336376085015,0.149068478953815,0.2978799840274416,0.6011417003862756,0.0,4.0,0.9386401326699834,0.04914713498360774,0.5603031487959236,0.3791766571529691,1.836475146903398,1.3676148999948055,,6,0.29449339845452804,0.1438590937849234,0.23859621355912836,0.3333333333333333,0.8660097656207797
challenge,budget_06_thin_strip,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion,anchor-aware-refiner,protocol_a,0.4779166754593049,0.296875,0.07387140902872777,1.7648109595823738,1.1877851107771136,0.23895833772965244,0.3858528347963773,0.6107932956028633,0.0,3.0,0.9389438943894389,0.07744333266324695,0.5406166463857431,0.4395396022928108,1.6083107820394749,0.011542399995960295,,1,,,,,
challenge,budget_06_thin_strip,barbell-bridge,1,hard,jagged,connected,high,clustered_occlusion,best-of-k-restart-blind,protocol_b,0.5556495197693643,0.078125,0.020802377414561663,0.0,0.8756071953625852,0.27782475988468214,0.46073565894457125,0.664119773370832,0.0,4.0,0.9761467889908257,0.27736465572034025,0.5494616513476874,0.652782686587789,2.080665039651964,0.49736379997921176,0.7666666666666667,1,,,,,
