budget,family,seed,blind_norm_cd,blind_coverage,blind_iou,anchor_norm_cd,anchor_coverage,anchor_iou,sampler_point_norm_cd,oracle_best_of_k_norm_cd,hypothesis_diversity,feasible_set_exploration,structural_mode_coverage,posterior_concentration_proxy,budget_difficulty,family_surface,family_connectivity,ambiguity_stratum,corruption_type,blind_anchor_gap_cd,blind_anchor_gap_cov,blind_anchor_gap_iou,sampler_gain,recoverability_class,early_loss_mean,early_loss_delta,early_projection_mean,early_best_cd,need_escalation,early_warning_risk,moments_correct,point_correct,moments_confidence,point_confidence,access_value_gain,components,hole_proxy,bbox_aspect_ratio,curvature_std,density_entropy,symmetry_score,budget_id,trace,det,cond,rotation_deg,downstream_fragility,transfer_drop,collapse_score,blind_success,phase_manual,phase_cluster,phase_name,phase_x,phase_y
budget_06_thin_strip,barbell-bridge,0,0.2280463027751049,0.84375,0.1631284916201117,0.4651979542847414,0.25,0.0705128205128205,0.3056276849726439,0.2998715337963618,0.1625428643653427,0.3312714321826714,0.5,0.8499796556060385,hard,jagged,connected,high,structured_dropout,-0.2371516515096365,0.59375,0.0926156711072912,-0.0718252310212568,irreducibly ambiguous candidate,0.2728521180076163,0.3410868971207564,0.47394480814406315,0.2280463027751049,1,0.9966666666666667,1,0,0.69553345,0.75246185,-1.0464,1.0,40.0,4.195334447827693,0.1627607014971466,2.105285482509537,0.9827512428576958,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,1.182427492077812,4.3730158730158735,0.6138761189890525,0,irreducibly ambiguous candidate,3,decision-fragile zone,-1.7882777291722998,2.509951956762481
budget_06_thin_strip,barbell-bridge,1,0.2388953172422876,0.828125,0.1333333333333333,0.4779166754593049,0.296875,0.0738714090287277,0.29813695790763,0.294493398454528,0.1438590937849234,0.2385962135591283,0.3333333333333333,0.8660097656207797,hard,jagged,connected,high,clustered_occlusion,-0.2390213582170172,0.53125,0.0594619243046056,-0.0555980812122403,optimization-limited candidate,0.3102312814176426,0.4544739915863183,0.45151292334165105,0.2388953172422876,1,0.9766666666666667,1,0,0.7507362,0.68153936,-1.0464,1.0,40.0,4.195334447827693,0.1627607014971466,2.105285482509537,0.9827512428576958,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,1.171077881280267,4.3730158730158735,0.6363183152799127,0,optimization-limited candidate,3,decision-fragile zone,-1.5708518121380197,2.6285809211970013
budget_06_thin_strip,barbell-bridge,2,0.1482933053327114,0.96875,0.3610354223433242,0.4477140069374147,0.296875,0.0784574468085106,0.2862454063370988,0.2711553405014839,0.1498272786907531,0.2415803060120432,0.3333333333333333,0.8608566518729646,hard,jagged,connected,high,none,-0.2994207016047033,0.671875,0.2825779755348135,-0.1228620351687724,globally hard,0.23718339487175832,0.2888638550881143,0.4136449316280925,0.1482933053327114,0,0.01,1,0,0.77145165,0.61052173,-1.0464,1.0,40.0,4.195334447827693,0.1627607014971466,2.105285482509537,0.9827512428576958,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,1.142134323850086,4.3730158730158735,0.7799148574996762,0,globally hard,3,decision-fragile zone,-0.24846325039157702,1.5821399933005376
budget_06_thin_strip,barbell-bridge,3,0.2266328647967507,0.8125,0.1398773006134969,0.5026639689449749,0.25,0.0622406639004149,0.3297725988693691,0.3098112528788939,0.1296110341350672,0.1481388504008669,0.1666666666666666,0.8784370465034361,hard,jagged,connected,high,moment_preserving_perturbation,-0.2760311041482242,0.5625,0.077636636713082,-0.0831783880821431,globally hard,0.35696663301104886,0.4171106157358617,0.5067652079877706,0.2266328647967507,1,0.9933333333333333,1,0,0.5186422,0.61767024,-1.0464,1.0,40.0,4.195334447827693,0.1627607014971466,2.105285482509537,0.9827512428576958,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,1.1578813925505302,4.3730158730158735,0.648584785433819,0,globally hard,3,decision-fragile zone,-1.2663712289126179,2.3899104252168732
budget_06_thin_strip,crescent,0,0.1288367168648707,0.984375,0.208235294117647,0.6717012097581975,0.296875,0.0962241169305724,0.2523081134448879,0.244274301589756,0.1187304889570814,0.392698577811874,0.6666666666666666,0.888047107014635,hard,smooth,connected,high,none,-0.5428644928933268,0.6875,0.1120111771870746,-0.1154375847248853,globally hard,0.36099406607594675,0.4374840759972202,0.651944301135932,0.1288367168648707,0,0.006666666666666667,0,1,0.5755249,0.9981229,0.9536,1.0,12.0,1.926420323251142,0.1042283193607317,2.07937302735138,0.8077277247469214,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.09400661066837152,1.5730158730158732,0.8800995398692688,0,globally hard,2,ambiguity zone,1.0605498313074806,-2.3046823500200375
budget_06_thin_strip,crescent,1,0.2289141068331994,0.71875,0.1083333333333333,0.6290902439399516,0.34375,0.072929542645241,0.2887488715709799,0.2827560427112464,0.2035597090240885,0.1851131878453775,0.1666666666666666,0.8158214909633187,hard,smooth,connected,high,moment_preserving_perturbation,-0.4001761371067522,0.375,0.0354037906880922,-0.0538419358780469,globally hard,0.33678777014796907,0.3791221926256171,0.6600221523130961,0.2289141068331994,1,0.9966666666666667,0,1,0.27172595,0.9993888,0.9536,1.0,12.0,1.926420323251142,0.1042283193607317,2.07937302735138,0.8077277247469214,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.18150740721314557,1.5730158730158732,0.6391390626040072,0,globally hard,1,optimization-limited zone,-1.5459447158083368,-1.1990386487409392
budget_06_thin_strip,crescent,2,0.1015170669798954,0.921875,0.2919508867667121,0.6855292538128952,0.203125,0.0655940594059406,0.2599871054370328,0.2386374658277049,0.1270644545209648,0.230198893927149,0.3333333333333333,0.8806769071596063,hard,smooth,connected,high,structured_dropout,-0.5840121868329998,0.71875,0.2263568273607715,-0.1371203988478095,anchor-easy/blind-easy,0.3623943713351396,0.42762470247154827,0.656267879351852,0.1015170669798954,0,0.0033333333333333335,0,1,0.5437567,0.9887144,0.9536,1.0,12.0,1.926420323251142,0.1042283193607317,2.07937302735138,0.8077277247469214,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.08996787434704057,1.5730158730158732,0.8718815238263131,1,anchor-easy/blind-easy,2,ambiguity zone,1.0443471614940947,-2.64648875526641
budget_06_thin_strip,crescent,3,0.2771348742099191,0.53125,0.1658476658476658,0.7104351286791376,0.21875,0.0804911323328785,0.3326114037543653,0.3102950131138535,0.1108669650734177,0.2221001492033755,0.3333333333333333,0.895057814959585,hard,smooth,connected,high,clustered_occlusion,-0.4333002544692185,0.3125,0.0853565335147873,-0.0331601389039343,optimization-limited candidate,0.4745123201739956,0.60970904578424,0.6605729826423614,0.2771348742099191,1,0.96,0,1,0.39947426,0.99908614,0.9536,1.0,12.0,1.926420323251142,0.1042283193607317,2.07937302735138,0.8077277247469214,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.09247993769637669,1.5730158730158732,0.7406433795806047,0,optimization-limited candidate,1,optimization-limited zone,-0.2717201836523772,-0.9707840117695812
budget_06_thin_strip,cross-branch,0,0.0821805317869398,0.984375,0.5370786516853933,0.4843654547084862,0.359375,0.0639032815198618,0.2447241262936255,0.2447241262936255,0.120136905526505,0.2267351194299192,0.3333333333333333,0.8867990207192509,hard,jagged,connected,high,none,-0.4021849229215464,0.625,0.4731753701655314,-0.1625435945066857,anchor-easy/blind-easy,0.221956331243874,0.19888972750155812,0.37137273655478115,0.0821805317869398,0,0.01,1,1,0.9374237,0.56100065,-0.0464,1.0,1.0,1.0024045069907674,0.1715963011416351,1.2292899263454526,0.985285262036289,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.10201393828867422,0.4730158730158731,0.9872864043943987,1,anchor-easy/blind-easy,2,ambiguity zone,1.4601751823942108,-1.1011544839146021
budget_06_thin_strip,cross-branch,1,0.2439733525932634,0.796875,0.1343873517786561,0.4481744542789476,0.421875,0.0838509316770186,0.3620371094183252,0.3351067526252257,0.1263081646662343,0.3131540823331172,0.5,0.8813432060955905,hard,jagged,connected,high,moment_preserving_perturbation,-0.2042011016856842,0.375,0.0505364201016375,-0.0911334000319623,anchor-easy/blind-hard,0.2295971420538185,0.2581685827201998,0.43144671195173484,0.2439733525932634,1,0.98,1,1,0.6623531,0.48851457,-0.0464,1.0,1.0,1.0024045069907674,0.1715963011416351,1.2292899263454526,0.985285262036289,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.15573394490871661,0.4730158730158731,0.8305117551652383,0,anchor-easy/blind-hard,1,optimization-limited zone,-0.07543152951607653,0.6467011704340898
budget_06_thin_strip,cross-branch,2,0.1460425780420451,1.0,0.1503378378378378,0.5128179099439096,0.3125,0.0919732441471571,0.2375704433739747,0.2375704433739747,0.1263953046957376,0.3131976523478688,0.5,0.8812664091687006,hard,jagged,connected,high,structured_dropout,-0.3667753319018645,0.6875,0.0583645936906807,-0.0915278653319296,globally hard,0.19746205746802628,0.1545357344111316,0.3953139305117996,0.1460425780420451,0,0.04,1,1,0.9038863,0.48329693,-0.0464,1.0,1.0,1.0024045069907674,0.1715963011416351,1.2292899263454526,0.985285262036289,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.15379330787492568,0.4730158730158731,0.9760794971932275,0,globally hard,2,ambiguity zone,1.0120081281173812,-0.6089615965017672
budget_06_thin_strip,cross-branch,3,0.3363122690973877,0.5625,0.1151315789473684,0.5789199217291484,0.265625,0.038917089678511,0.4468556998406281,0.3001428645712123,0.1504327134596018,0.3252163567298009,0.5,0.8603356170671351,hard,jagged,connected,high,clustered_occlusion,-0.2426076526317607,0.296875,0.0762144892688574,0.0361694045261754,optimization-limited candidate,0.31663128591464873,0.3815012893710067,0.4389599795644031,0.3115022470971686,1,1.0,1,1,0.96591324,0.5468808,-0.0464,1.0,1.0,1.0024045069907674,0.1715963011416351,1.2292899263454526,0.985285262036289,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.1795131576336608,0.4730158730158731,0.8022869399899769,0,optimization-limited candidate,1,optimization-limited zone,-0.9775618563768932,0.8576236271794024
budget_06_thin_strip,double-loop,0,0.2666724460047315,0.453125,0.1437699680511182,0.4941791182556584,0.34375,0.0924499229583975,0.2842591067760598,0.2677348002459123,0.1373403750936521,0.1520035208801594,0.1666666666666666,0.8716734796901419,hard,smooth,connected,high,clustered_occlusion,-0.2275066722509269,0.109375,0.0513200450927206,-0.0010623542411807,optimization-limited candidate,0.2896397414021433,0.39122114898293947,0.3705691313025536,0.2666724460047315,1,0.9866666666666667,0,1,0.19216388,0.7026753,0.9536,1.0,3.0,1.9632453591236552,0.0817043512033122,1.848737586275187,0.9903565845479404,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.11759495375430914,0.6730158730158731,0.7144240849897336,0,optimization-limited candidate,1,optimization-limited zone,-0.8315129804331038,0.02687116718321801
budget_06_thin_strip,double-loop,1,0.070492658930779,1.0,0.418426103646833,0.437440812757172,0.421875,0.0913621262458471,0.2037162276031461,0.1609453768346296,0.1166306928845309,0.3083153464422654,0.5,0.8899137839767907,hard,smooth,connected,high,none,-0.366948153826393,0.578125,0.3270639774009859,-0.0904527179038506,anchor-easy/blind-easy,0.22532394982909124,0.3272569522091734,0.304046558922126,0.070492658930779,0,0.006666666666666667,0,1,0.1892168,0.6857601,0.9536,1.0,3.0,1.9632453591236552,0.0817043512033122,1.848737586275187,0.9903565845479404,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.06782936649522622,0.6730158730158731,0.8879503217641092,1,anchor-easy/blind-easy,2,ambiguity zone,0.9874724678463611,-1.4185788103995869
budget_06_thin_strip,double-loop,2,0.2641494155927574,0.59375,0.0865853658536585,0.4633024234447011,0.390625,0.1,0.278761512914824,0.278761512914824,0.1148681805807581,0.2241007569570457,0.3333333333333333,0.8914836510189424,hard,smooth,connected,high,moment_preserving_perturbation,-0.1991530078519436,0.203125,-0.0134146341463415,-0.0146120973220665,anchor-easy/blind-hard,0.21963942348915555,0.27957503854100896,0.33725521678979953,0.2641494155927574,1,0.98,0,1,0.32157144,0.700559,0.9536,1.0,3.0,1.9632453591236552,0.0817043512033122,1.848737586275187,0.9903565845479404,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.11833691128657055,0.6730158730158731,0.7389788091715933,0,anchor-easy/blind-hard,1,optimization-limited zone,-0.45543835134601945,0.22450388695114906
budget_06_thin_strip,double-loop,3,0.1066634352101221,0.90625,0.2924335378323108,0.4529171237435274,0.390625,0.1433566433566433,0.1931081320311961,0.1902799740755279,0.1047620409103499,0.2190476871218416,0.3333333333333333,0.9005387884822975,hard,smooth,connected,high,structured_dropout,-0.3462536885334052,0.515625,0.1490768944756675,-0.0836165388654058,anchor-easy/blind-easy,0.23676934599984514,0.3295871045340313,0.3049651114330534,0.1066634352101221,0,0.006666666666666667,0,1,0.20615095,0.66801745,0.9536,1.0,3.0,1.9632453591236552,0.0817043512033122,1.848737586275187,0.9903565845479404,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.07412610665640298,0.6730158730158731,0.9004518486144549,1,anchor-easy/blind-easy,2,ambiguity zone,1.1212253687333629,-1.2228020979795
budget_06_thin_strip,mean-reversion,0,0.1167390791749592,1.0,0.2098765432098765,0.4167017852182639,0.359375,0.0699404761904761,0.3002321110049916,0.2921939313939952,0.1271821532018152,0.2302577432675742,0.3333333333333333,0.8805732587491385,hard,jagged,connected,high,structured_dropout,-0.2999627060433047,0.640625,0.1399360670194004,-0.175454852219036,anchor-easy/blind-easy,0.2405215632424782,0.2782131826588473,0.4343633137629908,0.1167390791749592,0,0.01,0,0,0.53226763,0.4228189,-0.0464,1.0,39.0,1.9304818378078896,0.114849417410383,1.9184331762576816,0.8426395272372131,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.1468896025298293,4.273015873015874,0.8755879957796372,1,anchor-easy/blind-easy,4,effective-collapse zone,1.0970763541275732,-0.18984767350711593
budget_06_thin_strip,mean-reversion,1,0.2432290505625842,0.65625,0.1469780219780219,0.4453204239735063,0.265625,0.0496124031007751,0.3662371073875366,0.2789896167620513,0.1310221860756388,0.232177759704486,0.3333333333333333,0.8771983125870405,hard,jagged,connected,high,clustered_occlusion,-0.2020913734109221,0.390625,0.0973656188772467,-0.0357605661994671,anchor-easy/blind-hard,0.24398404681215155,0.2285370319359389,0.4344853356307459,0.2432290505625842,1,0.9933333333333333,0,0,0.4068491,0.57895035,-0.0464,1.0,39.0,1.9304818378078896,0.114849417410383,1.9184331762576816,0.8426395272372131,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.1581648043310051,4.273015873015874,0.7191998518815989,0,anchor-easy/blind-hard,1,optimization-limited zone,-0.6804783713542837,1.2752211547579655
budget_06_thin_strip,mean-reversion,2,0.1363755687416837,0.984375,0.2450248756218905,0.4040319815529588,0.34375,0.0715307582260372,0.3072589488700213,0.2968549068945422,0.1564097118067028,0.1615381892366847,0.1666666666666666,0.8552087294682776,hard,jagged,connected,high,none,-0.267656412811275,0.640625,0.1734941173958533,-0.1604793381528585,globally hard,0.22614671111055273,0.24701810129211432,0.4276354528680413,0.1363755687416837,0,0.01,0,0,0.31104577,0.4885326,-0.0464,1.0,39.0,1.9304818378078896,0.114849417410383,1.9184331762576816,0.8426395272372131,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.16448544162520973,4.273015873015874,0.845189534294003,0,globally hard,4,effective-collapse zone,0.6178596498628857,-0.08156112791661227
budget_06_thin_strip,mean-reversion,3,0.2386744342656035,0.828125,0.1588571428571428,0.4690349230037426,0.296875,0.0425531914893617,0.2889971541737821,0.2580830426715935,0.1717883176794432,0.2525608255063882,0.3333333333333333,0.8421574241393607,hard,jagged,connected,high,moment_preserving_perturbation,-0.2303604887381391,0.53125,0.1163039513677811,-0.0194086084059899,anchor-easy/blind-hard,0.2764662046389521,0.2843065445313376,0.4347009989383808,0.2386744342656035,1,0.9966666666666667,0,0,0.58033305,0.21107344,-0.0464,1.0,39.0,1.9304818378078896,0.114849417410383,1.9184331762576816,0.8426395272372131,budget_06_thin_strip,1.5,0.2755102040816327,6.0,12.0,0.19089851635665164,4.273015873015874,0.6764473043689163,0,anchor-easy/blind-hard,1,optimization-limited zone,-1.3285186403578992,1.037594247379626
