case_id,display_name,source_id,template_id,seed,method,status,runtime_s,norm_cd,coverage,iou,uniformity,hausdorff,bidirectional_nn,approx_emd,occupancy_divergence,components_error,holes_error,skeleton_error,pairwise_hist_divergence,density_divergence,curvature_divergence,summary_entropy_gap,validation_loss,acceptance_rate
angular__diamond_ring__s00,angular-derived budget -> diamond ring (seed 0),angular,diamond_ring,0,anchor-aware-refiner,ok,0.686837099987315,0.1718587194755301,0.163,0.4002384737678855,2.617522414872045,0.6182434722919624,0.085929359737765,0.1314659095895521,0.2960637058740923,0.0,13.0,0.938337801608579,0.0043605210608768,0.5746660741924778,0.5066793186815075,1.3170019104305637,,
angular__diamond_ring__s00,angular-derived budget -> diamond ring (seed 0),angular,diamond_ring,0,blind-sa,ok,41.86009230001946,0.1794917165984308,0.163,0.45426114151681,0.2382230911910633,0.6182434722919629,0.0897458582992154,0.1942878687239159,0.2544041264693836,0.0,26.0,0.9423423423423424,0.0119048394720298,0.0206136221383472,0.0066170049467234,0.0784924134872135,0.0202445421905003,0.9833333333333332
angular__diamond_ring__s00,angular-derived budget -> diamond ring (seed 0),angular,diamond_ring,0,projected-gradient-blind,ok,2.588788699998986,0.1794917165984308,0.163,0.45426114151681,0.2382230911910633,0.6182434722919629,0.0897458582992154,0.1942878687239159,0.2544041264693836,0.0,26.0,0.9423423423423424,0.0119048394720298,0.0206136221383472,0.0066170049467234,0.0784924134872135,0.0119111545598182,
angular__diamond_ring__s00,angular-derived budget -> diamond ring (seed 0),angular,diamond_ring,0,evolutionary-blind,ok,57.98993410001276,0.1794917165984308,0.163,0.45426114151681,0.2382230911910633,0.6182434722919629,0.0897458582992154,0.1942878687239159,0.2544041264693836,0.0,26.0,0.9423423423423424,0.0119048394720298,0.0206136221383472,0.0066170049467234,0.0784924134872135,0.0202445421905003,
angular__diamond_ring__s00,angular-derived budget -> diamond ring (seed 0),angular,diamond_ring,0,best-of-k-restart-blind,ok,3.4316183000046294,0.1794917165984308,0.163,0.45426114151681,0.2382230911910633,0.6182434722919629,0.0897458582992154,0.1942878687239159,0.2544041264693836,0.0,26.0,0.9423423423423424,0.0119048394720298,0.0206136221383472,0.0066170049467234,0.0784924134872135,0.0119111545598182,
angular__diamond_ring__s00,angular-derived budget -> diamond ring (seed 0),angular,diamond_ring,0,entropy-transport-blind,ok,1.2624855999893043,0.1794917165984308,0.163,0.45426114151681,0.2382230911910641,0.6182434722919606,0.0897458582992154,0.1942878687239158,0.2544041264693836,0.0,26.0,0.9423423423423424,0.0119048394720298,0.0206136221383472,0.0066170049467234,0.0784924134872135,0.0202445421905991,
angular__diamond_ring__s00,angular-derived budget -> diamond ring (seed 0),angular,diamond_ring,0,langevin-blind,ok,28.793016599986004,0.1794917165984308,0.163,0.45426114151681,0.2382230911910633,0.6182434722919629,0.0897458582992154,0.1942878687239159,0.2544041264693836,0.0,26.0,0.9423423423423424,0.0119048394720298,0.0206136221383472,0.0066170049467234,0.0784924134872135,0.0119111545598182,
angular__diamond_ring__s01,angular-derived budget -> diamond ring (seed 1),angular,diamond_ring,1,anchor-aware-refiner,ok,0.6956137999950442,0.1707014481633639,0.1645,0.3944664031620553,2.561230494110876,0.6070018564900094,0.0853507240816819,0.1312810466400994,0.3068809991551668,0.0,4.0,0.9352708058124174,0.0045265779562109,0.5740723846630784,0.5083187709335035,1.32220078891923,,
angular__diamond_ring__s01,angular-derived budget -> diamond ring (seed 1),angular,diamond_ring,1,blind-sa,ok,41.3831693000102,0.1802015265748354,0.1645,0.453588143525741,0.2307377360404779,0.6070018564900096,0.0901007632874177,0.1908787333324912,0.2560249759481848,0.0,31.0,0.9620253164556962,0.0120728492316357,0.0319826400212025,0.0063998535655133,0.1901594912660016,0.0199878812644768,0.9666666666666668
angular__diamond_ring__s01,angular-derived budget -> diamond ring (seed 1),angular,diamond_ring,1,projected-gradient-blind,ok,1.3366693999851122,0.1802015265748354,0.1645,0.453588143525741,0.2307377360404779,0.6070018564900096,0.0901007632874177,0.1908787333324912,0.2560249759481848,0.0,31.0,0.9620253164556962,0.0120728492316357,0.0319826400212025,0.0063998535655133,0.1901594912660016,0.011536886802179,
angular__diamond_ring__s01,angular-derived budget -> diamond ring (seed 1),angular,diamond_ring,1,evolutionary-blind,ok,59.01869730002363,0.1802015265748354,0.1645,0.453588143525741,0.2307377360404779,0.6070018564900096,0.0901007632874177,0.1908787333324912,0.2560249759481848,0.0,31.0,0.9620253164556962,0.0120728492316357,0.0319826400212025,0.0063998535655133,0.1901594912660016,0.0199878812644768,
